Date,ABB.NS,ESCORTS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS
2022-04-01,2043.44,1635.69,704.66,1672.63,1202.88
2022-04-04,2059.15,1700.33,775.21,1654.53,1206.44
2022-04-05,2133.57,1795.94,752.5,1635.33,1189.39
2022-04-06,2135.41,1820.12,725.64,1606.99,1186.21
2022-04-07,2118.69,1652.36,709.69,1591.31,1165.29
2022-04-08,2163.92,1551.16,708.7,1594.47,1184.67
2022-04-11,2140.58,1545.04,700.05,1552.25,1182.21
2022-04-12,2132.55,1483.2,698.81,1531.08,1159.95
2022-04-13,2152.08,1486.23,685.45,1536.44,1155.69
2022-04-18,2110.32,1490.28,652.93,1424.71,1152.16
2022-04-19,2080.07,1488.16,628.01,1372.52,1196.07
2022-04-20,2065.82,1468.89,633.68,1395.1,1231.23
2022-04-21,2071.67,1528.86,643.06,1422.43,1260.06
2022-04-22,2088.68,1528.76,634.28,1393.12,1249.51
2022-04-25,2029.62,1542.63,639.03,1371.73,1220.61
2022-04-26,2017.88,1550.44,641.98,1389.21,1257.14
2022-04-27,2019.82,1547.83,642.21,1364.43,1258.36
2022-04-28,2032.61,1559.68,641.65,1390.62,1277.16
2022-04-29,2031.35,1574.9,647.85,1377.39,1263.75
2022-05-02,1987.55,1519.18,656.79,1354.06,1259.32
2022-05-04,1951.8,1506.51,634.47,1349.27,1220.0
2022-05-05,2152.03,1505.98,633.04,1392.86,1196.11
2022-05-06,2184.1,1510.6,616.5,1355.69,1186.94
2022-05-09,2233.99,1500.49,617.56,1379.85,1140.58
2022-05-10,2161.18,1520.38,627.48,1364.61,1120.81
2022-05-11,2199.4,1528.18,631.01,1341.54,1109.33
2022-05-12,2163.99,1497.4,616.78,1325.77,1086.73
2022-05-13,2219.36,1493.17,611.25,1321.9,1099.05
2022-05-16,2181.77,1584.97,617.75,1308.46,1099.32
2022-05-17,2223.0,1559.49,621.97,1334.25,1145.5
2022-05-18,2208.12,1562.86,621.92,1326.12,1149.66
2022-05-19,2204.3,1539.74,609.21,1254.02,1123.17
2022-05-20,2217.96,1577.36,625.26,1278.63,1188.66
2022-05-23,2225.61,1575.19,617.23,1290.27,1180.71
2022-05-24,2212.1,1540.22,624.31,1266.19,1184.77
2022-05-25,2145.63,1515.85,628.97,1239.35,1183.02
2022-05-26,2123.05,1550.39,646.91,1251.21,1171.74
2022-05-27,2213.11,1566.67,658.91,1284.08,1166.31
2022-05-30,2311.55,1577.89,663.41,1341.59,1206.94
2022-05-31,2351.76,1570.18,657.44,1335.19,1192.37
2022-06-01,2379.96,1536.52,660.24,1312.95,1192.76
2022-06-02,2343.19,1557.08,655.62,1339.1,1233.88
2022-06-03,2243.73,1544.17,653.35,1351.27,1258.89
2022-06-06,2289.95,1536.76,652.47,1358.68,1253.47
2022-06-07,2278.47,1542.73,644.97,1337.95,1255.83
2022-06-08,2233.61,1540.22,647.24,1332.0,1233.77
2022-06-09,2279.24,1519.37,652.12,1345.32,1267.6
2022-06-10,2260.78,1518.79,639.53,1311.39,1229.33
2022-06-13,2264.76,1489.84,627.93,1264.95,1206.08
2022-06-14,2249.16,1488.73,621.02,1279.2,1190.31
2022-06-15,2233.02,1511.04,618.87,1262.91,1175.91
2022-06-16,2174.16,1502.56,606.49,1240.71,1159.47
2022-06-17,2105.57,1445.87,610.49,1231.92,1173.06
2022-06-20,2119.91,1430.26,625.83,1255.76,1151.79
2022-06-21,2158.56,1456.41,632.64,1287.51,1170.39
2022-06-22,2147.03,1425.3,629.66,1276.27,1134.83
2022-06-23,2219.51,1454.05,631.98,1289.77,1116.42
2022-06-24,2219.12,1464.31,640.81,1279.69,1132.32
2022-06-27,2221.25,1488.25,641.97,1309.44,1128.97
2022-06-28,2213.74,1476.93,637.07,1314.37,1144.84
2022-06-29,2238.35,1405.36,636.14,1299.36,1168.6
2022-06-30,2229.34,1398.53,638.06,1298.16,1175.62
2022-07-01,2204.68,1419.54,640.78,1313.7,1090.94
2022-07-04,2288.06,1478.54,641.68,1321.34,1093.21
2022-07-05,2291.21,1453.22,640.24,1310.64,1102.06
2022-07-06,2438.72,1512.17,649.07,1324.58,1092.37
2022-07-07,2482.76,1529.02,660.69,1330.84,1081.61
2022-07-08,2508.58,1511.74,661.3,1344.83,1083.11
2022-07-11,2529.65,1530.57,665.59,1308.15,1097.83
2022-07-12,2461.78,1529.84,658.79,1277.47,1096.27
2022-07-13,2465.56,1553.89,642.72,1282.67,1076.83
2022-07-14,2469.1,1566.04,639.5,1268.81,1085.71
2022-07-15,2479.85,1605.87,644.71,1270.15,1087.82
2022-07-18,2506.11,1614.15,637.85,1323.03,1097.08
2022-07-19,2510.32,1699.14,638.08,1317.92,1103.81
2022-07-20,2517.74,1677.7,646.13,1345.58,1133.65
2022-07-21,2686.52,1681.67,644.1,1361.21,1126.09
2022-07-22,2612.54,1655.97,659.12,1337.59,1133.7
2022-07-25,2580.08,1638.2,661.07,1335.19,1096.24
2022-07-26,2629.01,1640.19,659.72,1288.62,1096.74
2022-07-27,2643.31,1644.88,664.76,1306.29,1095.7
2022-07-28,2637.59,1667.05,670.65,1347.45,1112.86
2022-07-29,2651.06,1677.5,678.86,1376.13,1136.57
2022-08-01,2660.26,1667.87,684.52,1377.33,1166.2
2022-08-02,2673.73,1581.14,676.99,1370.71,1170.63
2022-08-03,2588.51,1584.72,678.58,1390.69,1180.46
2022-08-04,2585.37,1583.22,677.77,1420.71,1164.86
2022-08-05,2604.6,1590.0,675.48,1435.58,1147.69
2022-08-08,2636.48,1596.68,692.05,1438.02,1162.71
2022-08-10,2684.24,1635.83,694.06,1422.97,1169.66
2022-08-11,2711.27,1611.05,703.24,1438.51,1173.56
2022-08-12,2710.26,1627.56,702.98,1415.56,1192.53
2022-08-16,2807.87,1783.55,711.03,1417.64,1200.82
2022-08-17,2801.82,1760.85,714.69,1426.35,1207.09
2022-08-18,2800.61,1745.94,715.55,1405.66,1209.28
2022-08-19,2798.52,1717.82,706.72,1418.22,1187.72
2022-08-22,2780.31,1670.54,695.97,1399.17,1184.43
2022-08-23,2778.9,1700.2,693.82,1369.65,1202.69
2022-08-24,2965.27,1708.19,697.16,1365.3,1199.49
2022-08-25,3046.61,1698.95,693.37,1348.11,1195.99
2022-08-26,3072.04,1778.56,693.49,1351.13,1189.61
2022-08-29,3097.04,1881.12,681.32,1298.03,1180.36
2022-08-30,3161.28,1930.87,703.43,1325.74,1198.67
2022-09-01,3297.85,1956.04,696.83,1300.21,1163.43
2022-09-02,3264.13,2008.65,703.15,1290.26,1149.85
2022-09-05,3186.91,1954.93,707.67,1297.63,1167.71
2022-09-06,3257.49,1961.51,704.97,1292.12,1180.0
2022-09-07,3207.35,1928.45,701.63,1294.39,1173.14
2022-09-08,3215.05,1930.68,708.87,1310.59,1174.79
2022-09-09,3211.57,1920.27,709.35,1342.34,1167.48
2022-09-12,3226.05,1925.26,706.96,1364.14,1180.54
2022-09-13,3254.39,1924.34,716.21,1371.91,1190.4
2022-09-14,3186.37,1938.18,723.57,1310.15,1176.14
2022-09-15,3194.42,1936.54,719.81,1272.32,1164.48
2022-09-16,3081.25,1868.1,706.58,1222.82,1135.63
2022-09-19,3059.59,2018.91,711.24,1234.58,1137.1
2022-09-20,3052.57,2028.15,719.81,1233.03,1137.28
2022-09-21,3032.32,2017.02,718.69,1222.99,1140.42
2022-09-22,3046.32,2058.84,703.38,1214.74,1129.67
2022-09-23,3027.47,2010.15,684.52,1212.52,1108.5
2022-09-26,2908.83,1936.05,675.29,1225.66,1080.26
2022-09-27,2938.43,1961.99,669.23,1237.47,1088.85
2022-09-28,2916.1,1966.35,657.73,1238.49,1059.86
2022-09-29,2903.02,2025.88,654.32,1242.0,1056.61
2022-09-30,2992.35,2059.66,672.78,1255.14,1080.44
2022-10-03,2901.66,1993.26,668.92,1237.65,1076.69
2022-10-04,2984.99,2059.18,687.76,1269.3,1096.55
2022-10-06,3089.68,2063.87,680.19,1292.17,1100.59
2022-10-07,3193.59,2065.95,677.25,1288.66,1105.25
2022-10-10,3130.08,2031.49,669.77,1298.83,1093.19
2022-10-11,3097.62,1975.88,662.98,1264.33,1071.42
2022-10-12,3146.5,2016.88,667.31,1268.68,1079.3
2022-10-13,3164.28,1935.71,659.65,1260.87,1082.73
2022-10-14,3094.96,1902.12,681.13,1309.13,1077.24
2022-10-17,3097.14,1905.56,684.71,1323.07,1094.53
2022-10-18,3111.72,1913.55,683.43,1335.28,1113.84
2022-10-19,3137.59,1927.82,690.44,1319.08,1133.22
2022-10-20,3035.37,1926.42,685.77,1332.8,1136.26
2022-10-21,2946.67,1924.68,680.95,1332.44,1123.08
2022-10-24,2957.86,1920.13,691.57,1347.85,1126.83
2022-10-25,2960.23,1936.78,686.77,1355.35,1109.43
2022-10-27,2944.88,1954.54,688.42,1368.05,1113.79
2022-10-28,2869.98,1932.28,690.46,1358.45,1147.87
2022-10-31,2954.9,1973.08,708.45,1380.35,1158.53
2022-11-01,3054.12,1944.18,716.28,1412.08,1149.55
